experimento,metodo,K-folds,k,alpha,tiempo,accuracy,precision,recall,F1-score,confusion
Kfold_PruebaCon10000_std,KNN_PCA,1,3,31,0.0,0.0,0.0,0.0,0.0,"[[190   0   0   0   1   0   4   0   0   0]
 [  0 226   0   0   0   0   0   0   0   0]
 [  3   2 165   3   0   0   1   5   1   1]
 [  0   2   2 215   1   2   1   1   2   0]
 [  0   1   0   0 191   0   1   0   0  11]
 [  1   0   0   2   0 178   4   0   1   2]
 [  1   0   1   0   0   0 169   0   0   0]
 [  0   1   3   0   1   0   0 192   0   1]
 [  0   1   0   2   3   2   2   0 175   1]
 [  0   2   1   1   3   4   0   2   2 210]]"
Kfold_PruebaCon10000_std,KNN_PCA,2,3,31,0.08242440223693848,0.0005999999999999894,0.0006530093167386175,0.00018053159241904204,0.0004841295783687971,"[[477   0   0   0   0   2   3   0   0   0]
 [  0 549   0   0   1   0   0   0   1   0]
 [  4   5 444   2   1   1   4   9   6   1]
 [  0   5   3 477   1   8   1   5  11   3]
 [  1   4   0   0 464   0   7   2   0  29]
 [  2   1   0  11   2 409  11   0   5   4]
 [  4   0   0   0   1   3 484   0   0   0]
 [  0   7   2   0   3   0   0 505   1  11]
 [  2   2   1   8   2  12   5   2 439   6]
 [  2   2   0   3  16   4   1   9   2 464]]"
Kfold_PruebaCon10000_std,KNN_PCA,3,3,31,0.10291102089731737,0.00098633654238026,0.0010777391824313843,0.0015135537792427686,0.0012000454249203542,"[[318   0   0   0   0   0   2   0   1   0]
 [  0 366   0   0   0   0   0   0   0   0]
 [  2   2 300   1   1   1   2   6   3   0]
 [  0   2   3 317   0   7   0   3   7   2]
 [  0   2   0   0 312   0   4   2   0  16]
 [  1   1   0  10   1 274   5   0   2   2]
 [  3   0   1   0   0   2 321   0   0   0]
 [  0   4   1   0   1   0   0 338   0   7]
 [  0   2   1   4   1   7   2   1 297   3]
 [  1   1   0   1   8   3   0   5   1 314]]"
Kfold_PruebaCon10000_std,KNN_PCA,4,3,31,0.13552937119862835,0.0010198039027185535,0.0012668710688267361,0.0014223756537954347,0.0012617863088831198,"[[238   0   0   0   0   0   1   0   0   0]
 [  0 274   0   0   0   0   0   0   0   0]
 [  2   1 224   1   0   0   1   4   2   0]
 [  0   1   1 239   0   5   0   3   4   1]
 [  0   1   0   0 234   0   3   0   0  13]
 [  1   0   0   6   0 206   4   0   1   2]
 [  2   0   0   0   0   1 241   0   0   0]
 [  0   3   1   0   0   0   0 254   0   5]
 [  0   1   1   2   0   6   1   0 224   2]
 [  0   1   0   1   4   1   0   3   0 238]]"
Kfold_PruebaCon10000_std,KNN_PCA,5,3,31,0.2992097760938834,0.002922327839240518,0.0032511514421896203,0.003581126306776988,0.0033633295658796187,"[[191   0   0   0   0   0   1   0   0   0]
 [  0 218   0   0   0   0   0   0   0   0]
 [  0   1 181   1   0   0   1   3   1   0]
 [  0   1   1 190   0   4   0   2   4   1]
 [  0   1   0   0 188   0   1   0   0   9]
 [  1   0   0   4   0 165   2   0   1   1]
 [  2   0   0   0   0   1 192   0   0   0]
 [  0   2   0   0   0   0   0 204   0   4]
 [  0   1   1   1   0   3   1   0 181   1]
 [  0   1   0   1   3   1   0   3   0 190]]"
Kfold_PruebaCon10000_std,KNN_PCA,6,3,31,0.15590174830297374,0.00512057286855616,0.00492372733061493,0.005473835538623304,0.005180641318464378,"[[159   0   0   0   0   0   1   0   0   0]
 [  0 182   0   0   0   0   0   0   0   0]
 [  1   1 151   0   0   0   0   2   1   0]
 [  0   1   1 159   0   3   0   1   3   1]
 [  0   1   0   0 157   0   1   1   0   7]
 [  1   0   0   3   0 138   3   0   0   1]
 [  2   0   0   0   0   0 160   0   0   0]
 [  0   1   0   0   0   0   0 169   0   3]
 [  0   1   0   1   0   3   1   0 149   1]
 [  0   0   0   1   3   1   0   2   1 157]]"
Kfold_PruebaCon10000_std,KNN_PCA,7,3,31,0.18382076005579517,0.006590021275259002,0.006218304686413597,0.006584044983349263,0.006415991441370003,"[[136   0   0   0   0   0   0   0   0   0]
 [  0 156   0   0   0   0   0   0   0   0]
 [  0   0 129   1   0   0   0   2   1   0]
 [  0   0   1 137   0   3   0   1   2   1]
 [  0   0   0   0 134   0   1   0   0   7]
 [  0   0   0   3   0 118   2   0   1   1]
 [  2   0   0   0   0   0 137   0   0   0]
 [  0   1   0   0   0   0   0 146   0   2]
 [  0   0   0   1   0   2   1   0 128   1]
 [  0   0   0   0   2   1   0   2   0 134]]"
Kfold_PruebaCon10000_std,KNN_PCA,8,3,31,0.28180755439408517,0.008004373804364707,0.007614217693268762,0.007942567813500494,0.007838847067577042,"[[119   0   0   0   0   0   0   0   0   0]
 [  0 137   0   0   0   0   0   0   0   0]
 [  0   0 113   1   0   0   0   2   0   0]
 [  0   0   1 120   0   2   0   1   2   0]
 [  0   0   0   0 118   0   1   0   0   6]
 [  0   0   0   3   0 103   2   0   0   0]
 [  1   0   0   0   0   0 120   0   0   0]
 [  0   1   0   0   0   0   0 127   0   2]
 [  0   0   0   1   0   2   0   0 112   1]
 [  0   0   0   0   2   0   0   2   0 118]]"
Kfold_PruebaCon10000_std,KNN_PCA,9,3,31,0.26203136594277926,0.0062947817228489016,0.005989150472472277,0.006104497676110257,0.006072404417475699,"[[106   0   0   0   0   0   0   0   0   0]
 [  0 121   0   0   0   0   0   0   0   0]
 [  0   0 100   0   0   0   0   1   0   0]
 [  0   0   1 106   0   2   0   1   2   0]
 [  0   0   0   0 104   0   1   0   0   5]
 [  0   0   0   2   0  92   2   0   0   0]
 [  1   0   0   0   0   0 107   0   0   0]
 [  0   1   0   0   0   0   0 113   0   2]
 [  0   0   0   1   0   2   0   0 100   0]
 [  0   0   0   0   2   0   0   1   0 104]]"
Kfold_PruebaCon10000_std,KNN_PCA,10,3,31,0.21200379568632424,0.004948737212663453,0.004881546366815924,0.005475027309710344,0.005253082270554502,"[[ 95   0   0   0   0   0   0   0   0   0]
 [  0 109   0   0   0   0   0   0   0   0]
 [  0   0  90   0   0   0   0   1   0   0]
 [  0   0   0  96   0   2   0   1   1   0]
 [  0   0   0   0  94   0   1   0   0   4]
 [  0   0   0   1   0  83   1   0   0   1]
 [  1   0   0   0   0   0  96   0   0   0]
 [  0   1   0   0   0   0   0 102   0   1]
 [  0   0   0   1   0   1   0   0  90   0]
 [  0   0   0   0   1   0   0   1   0  94]]"
Kfold_PruebaCon10000_std,KNN_PCA,11,3,31,0.09155246236171322,0.007978761518356752,0.007741583061478414,0.008024640429725635,0.008012566466328764,"[[86  0  0  0  0  0  0  0  0  0]
 [ 0 99  0  0  0  0  0  0  0  0]
 [ 0  0 82  0  0  0  0  1  0  0]
 [ 0  0  0 87  0  2  0  0  1  0]
 [ 0  0  0  0 86  0  0  0  0  4]
 [ 0  0  0  1  0 75  1  0  0  0]
 [ 1  0  0  0  0  0 87  0  0  0]
 [ 0  1  0  0  0  0  0 92  0  1]
 [ 0  0  0  1  0  1  0  0 81  0]
 [ 0  0  0  0  1  0  0  1  0 86]]"
Kfold_PruebaCon10000_std,KNN_PCA,12,3,31,0.06677785254911922,0.007872616010543149,0.007849982649892914,0.008262924448349841,0.008167195948296742,"[[79  0  0  0  0  0  0  0  0  0]
 [ 0 91  0  0  0  0  0  0  0  0]
 [ 0  0 75  0  0  0  0  1  0  0]
 [ 0  0  0 80  0  1  0  0  1  0]
 [ 0  0  0  0 79  0  0  0  0  3]
 [ 0  0  0  1  0 69  1  0  0  0]
 [ 1  0  0  0  0  0 80  0  0  0]
 [ 0  1  0  0  0  0  0 84  0  1]
 [ 0  0  0  0  0  1  0  0 75  0]
 [ 0  0  0  0  1  0  0  1  0 78]]"
Kfold_PruebaCon10000_std,KNN_PCA,13,3,31,0.1646995499344121,0.009431552234660795,0.009032203569170977,0.009349714277298823,0.00926812587054668,"[[73  0  0  0  0  0  0  0  0  0]
 [ 0 84  0  0  0  0  0  0  0  0]
 [ 0  0 69  0  0  0  0  1  0  0]
 [ 0  0  0 73  0  1  0  0  1  0]
 [ 0  0  0  0 72  0  0  0  0  3]
 [ 0  0  0  1  0 64  1  0  0  0]
 [ 1  0  0  0  0  0 74  0  0  0]
 [ 0  0  0  0  0  0  0 78  0  1]
 [ 0  0  0  0  0  1  0  0 69  0]
 [ 0  0  0  0  1  0  0  1  0 73]]"
Kfold_PruebaCon10000_std,KNN_PCA,14,3,31,0.06420309644681732,0.008859257799679679,0.008630476421345784,0.00875169693531216,0.00873791194906049,"[[68  0  0  0  0  0  0  0  0  0]
 [ 0 78  0  0  0  0  0  0  0  0]
 [ 0  0 64  0  0  0  0  1  0  0]
 [ 0  0  0 68  0  1  0  0  1  0]
 [ 0  0  0  0 67  0  0  0  0  3]
 [ 0  0  0  1  0 59  1  0  0  0]
 [ 0  0  0  0  0  0 69  0  0  0]
 [ 0  0  0  0  0  0  0 72  0  1]
 [ 0  0  0  0  0  1  0  0 64  0]
 [ 0  0  0  0  1  0  0  0  0 67]]"
