0,1,2,3,4,5,6,7,8,9
844,0,0,0,0,2,5,0,1,0
0,945,1,1,1,0,2,0,0,0
8,2,779,2,0,0,1,7,1,1
0,2,5,842,0,11,1,2,14,5
0,3,0,0,784,0,4,2,0,18
2,1,2,7,1,723,9,0,0,2
1,2,0,0,1,2,825,0,0,0
1,4,3,0,2,1,0,870,0,3
2,9,2,3,2,7,1,0,772,4
5,3,2,7,10,1,0,7,2,803
4086,0,3,2,3,6,22,2,4,4
1,4635,11,6,6,3,5,9,2,6
20,12,4046,10,1,2,3,58,19,6
3,7,37,4141,2,54,2,20,61,24
4,19,0,0,3910,0,20,10,1,108
12,6,2,37,1,3658,41,3,11,24
11,4,1,0,4,19,4095,0,3,0
2,42,13,2,11,1,0,4272,3,55
13,22,11,45,18,42,17,14,3848,33
15,6,7,30,57,13,3,49,17,3991
4095,0,2,1,2,7,17,2,4,2
1,4642,13,4,4,3,3,9,1,4
18,15,4057,5,2,2,4,57,14,3
3,6,32,4169,0,51,2,16,45,27
4,19,0,0,3926,0,15,15,3,90
8,1,1,35,3,3666,46,3,8,24
15,3,1,0,4,17,4094,0,3,0
3,35,17,1,10,2,0,4286,2,45
6,19,11,42,11,38,18,9,3875,34
13,7,5,31,56,13,4,38,12,4009
4095,0,3,1,2,7,16,1,4,3
1,4638,12,4,2,3,5,10,2,7
21,12,4057,2,1,1,5,59,14,5
2,5,26,4174,0,49,4,20,49,22
2,19,0,0,3937,0,14,12,1,87
8,3,2,38,2,3669,38,2,7,26
13,3,1,0,4,18,4096,0,2,0
1,33,15,2,9,2,0,4294,3,42
5,18,11,40,9,34,14,6,3895,31
11,9,8,26,51,14,3,44,13,4009
4097,0,2,1,3,6,16,1,2,4
1,4640,14,6,2,2,4,6,1,8
20,12,4060,4,1,1,4,53,17,5
1,7,34,4166,0,47,2,14,55,25
4,20,0,0,3941,0,11,14,1,81
7,4,2,34,2,3674,41,2,5,24
11,3,1,0,3,17,4100,0,2,0
2,33,17,1,9,1,1,4297,3,37
7,18,9,41,9,37,17,7,3883,35
12,7,6,24,54,13,3,43,16,4010
4095,0,3,1,2,6,17,2,4,2
1,4640,13,6,3,2,3,7,2,7
19,11,4073,5,0,1,4,47,12,5
3,6,31,4180,0,46,2,13,48,22
4,19,0,0,3943,0,15,12,1,78
7,3,2,37,2,3671,39,3,7,24
12,3,1,0,4,17,4098,0,2,0
2,36,16,2,7,1,0,4295,2,40
6,19,10,38,10,31,19,6,3894,30
11,6,6,27,50,14,3,42,13,4016
4094,0,3,1,2,5,19,2,4,2
1,4642,14,3,3,3,3,5,3,7
20,11,4068,7,3,2,3,46,12,5
2,8,32,4173,0,49,2,17,47,21
5,18,0,0,3947,0,13,11,1,77
6,4,1,33,1,3678,39,4,4,25
13,3,1,0,4,14,4099,0,3,0
1,32,19,1,5,1,0,4299,3,40
5,19,9,41,10,35,18,6,3888,32
