experimento,metodo,K-folds,k,alpha,tiempo,accuracy,precision,recall,F1-score
Kfold_std,KNN_PCA,1,3,36,0.0,0.0,0.0,0.0,0.0
Kfold_std,KNN_PCA,2,3,36,0.06397640705108643,0.0013333333333332975,0.001261615818725137,0.0013682435765057233,0.0013290633718375244
Kfold_std,KNN_PCA,3,3,36,0.1744875737743589,0.0006555190427588657,0.0006944147475503268,0.0005502693629625072,0.0006152105504512162
Kfold_std,KNN_PCA,4,3,36,0.2044420701690364,0.0009988655696858847,0.001108392388201619,0.0009111353184509748,0.0010191030607789833
Kfold_std,KNN_PCA,5,3,36,0.3296396613042794,0.0017079910889962907,0.0018439717375335863,0.0017048373978911843,0.0017735565719880233
Kfold_std,KNN_PCA,6,3,36,0.21860325228730176,0.0008401085125893958,0.0008230227318054255,0.0009045867133269678,0.0008682641781305419
Kfold_std,KNN_PCA,7,3,36,0.29567275327527087,0.0021876275473019288,0.002324217972817178,0.0022246213460272524,0.0022743750640508453
Kfold_std,KNN_PCA,8,3,36,0.16992296334900503,0.0019954596990244934,0.0020791694100926795,0.0019730810212700606,0.0020312807290659694
Kfold_std,KNN_PCA,9,3,36,0.1686845519367176,0.0025189482397943237,0.0026029718036720668,0.0025097390457371276,0.0025746420407430776
Kfold_std,KNN_PCA,10,3,36,0.26807704361317874,0.0020236694629405414,0.002074872783666137,0.001982355462933929,0.0020385512178311667
Kfold_std,KNN_PCA,11,3,36,0.15771919292261663,0.0026508466198918116,0.0027039227752658134,0.0026554157930196677,0.0026938290230202216
Kfold_std,KNN_PCA,12,3,36,0.4049524572134115,0.002559496123881265,0.002664102086843046,0.00250294826641002,0.0025883385558528116
Kfold_std,KNN_PCA,13,3,36,0.4791759621167152,0.003419101151284057,0.0034498213506531984,0.0033659249390190333,0.003417716740315556
Kfold_std,KNN_PCA,14,3,36,0.2752651026154173,0.0028301302422695236,0.002903173822310648,0.002786219669556144,0.0028549976040016137
Kfold_std,KNN_PCA,15,3,36,0.14141712287471753,0.003226695620267017,0.0032718485507046264,0.0032858498634662477,0.003304628476159356
Kfold_std,KNN_PCA,16,3,36,0.2092028155068099,0.002965791356003805,0.003051453516740617,0.002932270465414522,0.002996262478917241
Kfold_std,KNN_PCA,17,3,36,0.1416321821378894,0.0035414096135843245,0.0034992232746739803,0.0034819495637584312,0.0035189381920607333
Kfold_std,KNN_PCA,18,3,36,0.31760296775906727,0.0031514931472107115,0.0032218663927372384,0.003099554510032438,0.003172505303792394
Kfold_std,KNN_PCA,19,3,36,0.15209657474137694,0.0033367713378318676,0.003309711879213179,0.0032709617583953484,0.0033046702294794086
Kfold_std,KNN_PCA,20,3,36,0.1648459621320441,0.0037127591490515783,0.003802714991312056,0.00371291321310408,0.0037733072214876915
