0,1,2,3,4,5,6,7,8,9
9,0,0,0,0,2,0,0,0,0
0,12,0,0,0,0,0,0,0,0
0,1,2,1,0,0,1,2,0,0
0,1,0,6,0,5,0,0,2,0
0,0,0,0,5,1,1,1,1,1
0,1,0,0,0,7,0,1,1,1
0,0,2,0,1,0,6,0,0,0
0,1,0,0,0,0,0,9,0,1
0,1,2,1,0,0,0,0,6,0
0,0,0,0,2,0,0,2,0,1
53,0,0,1,0,2,1,0,0,0
0,59,0,0,0,0,0,0,0,0
2,4,18,3,1,1,1,2,5,1
0,1,1,39,0,3,0,0,6,1
0,1,0,0,29,1,1,1,1,12
1,0,0,6,2,28,2,1,2,0
0,1,0,0,0,0,48,0,0,0
1,2,1,0,0,0,0,47,0,2
1,0,0,3,0,1,3,0,53,2
0,1,0,0,12,1,0,2,0,26
97,0,0,0,0,1,3,1,0,1
0,101,0,0,0,0,0,0,0,0
1,4,92,1,2,0,1,2,1,0
0,0,3,70,0,5,1,1,8,2
0,3,0,0,87,1,1,1,2,8
0,1,0,7,2,64,4,0,2,2
1,1,0,0,1,4,107,0,1,0
0,1,0,1,0,0,0,109,1,3
2,4,1,2,1,7,3,3,79,1
0,1,0,0,8,1,0,5,1,68
536,0,2,0,0,5,2,0,1,1
0,510,1,0,0,0,3,0,0,0
6,11,476,2,0,1,4,15,5,2
0,5,6,445,2,13,1,2,7,4
1,9,1,0,426,0,3,1,0,29
0,2,1,10,3,476,9,0,3,7
4,2,0,1,2,5,456,0,1,0
0,7,2,0,3,1,0,491,0,11
5,5,2,14,2,15,1,3,424,13
3,1,3,5,16,1,1,8,2,441
957,0,0,0,0,2,5,0,2,0
0,1098,2,0,2,0,1,0,2,1
3,7,901,7,1,4,6,20,8,1
1,6,6,961,1,25,2,13,13,5
1,7,1,1,941,1,10,6,2,48
6,3,0,19,3,837,16,0,7,4
8,0,2,0,1,7,968,0,1,0
0,12,4,1,5,0,0,1016,1,23
2,5,4,10,6,21,10,4,892,10
3,4,3,6,21,4,1,17,3,949
1983,1,1,0,0,2,9,1,0,3
0,2149,8,1,3,0,0,7,3,2
9,5,1945,7,0,0,4,33,10,2
1,5,15,1967,1,27,3,13,21,14
1,11,0,1,1840,0,11,7,0,48
3,5,1,23,3,1696,22,4,10,8
7,2,1,0,1,7,1965,2,4,0
0,18,5,1,7,0,0,2061,1,26
3,11,7,22,6,21,12,3,1810,21
5,8,5,15,29,7,1,34,3,1920
2937,0,2,1,1,3,12,2,2,1
0,3365,11,4,2,2,3,5,1,6
16,11,2831,10,4,1,3,45,10,6
3,5,25,2930,0,37,3,12,41,18
3,9,0,0,2830,0,14,6,0,68
8,2,3,35,2,2607,30,0,11,15
6,2,1,0,3,14,2952,0,3,0
1,29,10,2,9,0,0,3079,1,37
5,19,9,20,8,38,15,8,2721,20
8,4,5,18,42,12,4,26,7,2848
4097,0,2,1,3,6,16,1,2,4
1,4640,14,6,2,2,4,6,1,8
20,12,4060,4,1,1,4,53,17,5
1,7,34,4166,0,47,2,14,55,25
4,20,0,0,3941,0,11,14,1,81
7,4,2,34,2,3674,41,2,5,24
11,3,1,0,3,17,4100,0,2,0
2,33,17,1,9,1,1,4297,3,37
7,18,9,41,9,37,17,7,3883,35
12,7,6,24,54,13,3,43,16,4010
