0,1,2,3,4,5,6,7,8,9
1,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,2,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,3,0,0
0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1
10,0,0,0,0,0,1,0,0,0
0,8,0,0,0,0,0,0,0,0
0,1,3,0,1,1,0,0,1,1
0,0,0,6,0,1,0,0,1,0
0,0,0,0,6,0,0,0,0,2
0,0,0,0,0,7,1,1,1,1
0,1,0,0,0,0,8,0,0,0
0,0,0,0,0,0,0,12,0,0
0,0,0,0,0,0,0,0,14,0
0,1,0,0,5,0,0,0,0,5
21,0,0,0,0,0,0,1,0,0
0,21,0,0,0,0,0,0,0,0
0,1,17,0,0,1,0,1,0,0
0,0,0,9,0,0,0,0,1,1
0,0,0,0,18,0,2,0,0,4
0,0,0,3,0,11,1,0,0,0
2,1,0,0,0,0,14,0,0,0
0,1,0,0,0,0,0,23,0,0
1,2,0,3,2,1,0,0,10,2
0,1,0,0,1,0,0,4,0,19
92,0,1,0,0,0,0,0,0,0
0,97,0,0,0,0,0,0,0,0
2,2,108,0,0,0,1,3,1,1
0,2,1,90,0,5,0,1,0,1
0,2,1,0,99,0,1,0,0,7
1,1,0,3,1,98,1,0,0,0
0,0,0,0,0,0,95,0,0,0
0,1,0,0,1,0,0,93,0,3
0,0,1,4,1,3,0,3,88,2
0,0,0,1,4,0,0,2,0,75
190,0,0,0,0,0,3,0,2,0
0,226,0,0,0,0,0,0,0,0
3,2,165,4,0,0,1,5,0,1
0,2,2,212,0,3,1,2,3,1
0,1,0,0,191,0,2,0,0,10
1,0,0,3,1,175,3,0,3,2
1,0,1,0,0,0,169,0,0,0
0,1,2,0,1,0,0,192,0,2
0,1,2,2,1,4,2,0,173,1
0,2,1,3,4,1,0,2,1,211
375,0,0,1,0,0,4,0,0,0
0,423,0,0,1,0,0,1,0,0
3,1,389,0,1,0,0,2,1,1
1,3,4,374,1,6,0,1,4,3
1,2,0,0,368,0,2,0,0,10
2,0,0,3,1,358,8,2,1,2
2,1,0,0,0,3,376,0,0,0
1,9,2,0,3,1,0,404,0,7
1,3,0,3,2,8,1,2,368,3
1,2,1,4,6,2,0,8,0,416
586,0,0,1,1,0,2,1,1,0
0,664,2,1,0,0,0,0,0,1
3,2,566,3,1,0,0,7,2,2
0,1,4,599,0,5,1,3,6,1
0,1,0,0,601,0,1,1,0,18
1,0,0,4,0,510,2,0,3,3
2,0,0,0,0,6,571,0,1,0
0,6,2,0,0,0,0,645,0,10
0,3,2,5,3,9,4,2,549,1
1,1,0,4,11,6,1,7,0,537
844,0,0,0,0,2,5,0,1,0
0,945,1,1,1,0,2,0,0,0
8,2,779,2,0,0,1,7,1,1
0,2,5,842,0,11,1,2,14,5
0,3,0,0,784,0,4,2,0,18
2,1,2,7,1,723,9,0,0,2
1,2,0,0,1,2,825,0,0,0
1,4,3,0,2,1,0,870,0,3
2,9,2,3,2,7,1,0,772,4
5,3,2,7,10,1,0,7,2,803
